emojis,n,percentage,rank,cumulative_pct
🧘,46,1.610644257703081,1,1.610644257703081
🧼,36,1.2605042016806722,2,2.871148459383753
🐛,35,1.2254901960784315,3,4.0966386554621845
🙌,29,1.015406162464986,4,5.1120448179271705
✅,23,0.8053221288515405,5,5.917366946778711
🧑,23,0.8053221288515405,6,6.722689075630251
🧹,23,0.8053221288515405,7,7.528011204481793
🐈,22,0.7703081232492998,8,8.298319327731091
👣,22,0.7703081232492998,9,9.068627450980392
🟢,22,0.7703081232492998,10,9.83893557422969
🍑,21,0.7352941176470588,11,10.57422969187675
💈,21,0.7352941176470588,12,11.309523809523808
🫐,19,0.665266106442577,13,11.974789915966387
📖,18,0.6302521008403361,14,12.605042016806722
📛,18,0.6302521008403361,15,13.235294117647058
⏱,16,0.5602240896358543,16,13.795518207282912
📚,16,0.5602240896358543,17,14.355742296918766
🟠,16,0.5602240896358543,18,14.915966386554622
🔦,15,0.5252100840336135,19,15.441176470588236
🙈,15,0.5252100840336135,20,15.966386554621849
📊,14,0.49019607843137253,21,16.45658263305322
📋,13,0.4551820728291317,22,16.91176470588235
🟧,13,0.4551820728291317,23,17.366946778711483
🦩,13,0.4551820728291317,24,17.822128851540615
🌀,12,0.42016806722689076,25,18.242296918767508
🎞,12,0.42016806722689076,26,18.662464985994397
🎨,12,0.42016806722689076,27,19.082633053221286
🐚,12,0.42016806722689076,28,19.50280112044818
👔,12,0.42016806722689076,29,19.92296918767507
📃,12,0.42016806722689076,30,20.34313725490196
🔢,12,0.42016806722689076,31,20.76330532212885
🙊,12,0.42016806722689076,32,21.183473389355743
🚚,12,0.42016806722689076,33,21.603641456582633
🛝,12,0.42016806722689076,34,22.023809523809522
⚠,11,0.3851540616246499,35,22.408963585434172
📄,11,0.3851540616246499,36,22.794117647058822
📌,11,0.3851540616246499,37,23.179271708683473
🔧,11,0.3851540616246499,38,23.564425770308123
🔶,11,0.3851540616246499,39,23.949579831932773
🖼,11,0.3851540616246499,40,24.334733893557424
🙉,11,0.3851540616246499,41,24.719887955182074
🧟,11,0.3851540616246499,42,25.105042016806724
✏,10,0.350140056022409,43,25.455182072829132
🍯,10,0.350140056022409,44,25.80532212885154
📓,10,0.350140056022409,45,26.15546218487395
🚣,10,0.350140056022409,46,26.50560224089636
🦾,10,0.350140056022409,47,26.855742296918766
🧰,10,0.350140056022409,48,27.205882352941178
♻,9,0.31512605042016806,49,27.521008403361346
⚖,9,0.31512605042016806,50,27.83613445378151
✂,9,0.31512605042016806,51,28.15126050420168
🌻,9,0.31512605042016806,52,28.46638655462185
🎱,9,0.31512605042016806,53,28.781512605042018
🏛,9,0.31512605042016806,54,29.096638655462186
💻,9,0.31512605042016806,55,29.41176470588235
📺,9,0.31512605042016806,56,29.72689075630252
🚜,9,0.31512605042016806,57,30.04201680672269
🟡,9,0.31512605042016806,58,30.357142857142858
🤖,9,0.31512605042016806,59,30.672268907563026
🦜,9,0.31512605042016806,60,30.98739495798319
🧠,9,0.31512605042016806,61,31.30252100840336
🫡,9,0.31512605042016806,62,31.61764705882353
⌨,8,0.2801120448179272,63,31.897759103641455
➕,8,0.2801120448179272,64,32.17787114845938
🌈,8,0.2801120448179272,65,32.45798319327731
🌌,8,0.2801120448179272,66,32.73809523809524
🍉,8,0.2801120448179272,67,33.01820728291317
🎬,8,0.2801120448179272,68,33.29831932773109
👈,8,0.2801120448179272,69,33.57843137254902
📐,8,0.2801120448179272,70,33.858543417366946
📒,8,0.2801120448179272,71,34.13865546218487
📗,8,0.2801120448179272,72,34.4187675070028
📙,8,0.2801120448179272,73,34.69887955182073
📝,8,0.2801120448179272,74,34.97899159663866
🔵,8,0.2801120448179272,75,35.25910364145658
🗄,8,0.2801120448179272,76,35.53921568627451
🗓,8,0.2801120448179272,77,35.819327731092436
🛡,8,0.2801120448179272,78,36.09943977591036
🤛,8,0.2801120448179272,79,36.37955182072829
🦅,8,0.2801120448179272,80,36.65966386554622
🦺,8,0.2801120448179272,81,36.93977591036415
🪨,8,0.2801120448179272,82,37.219887955182074
☑,7,0.24509803921568626,83,37.46498599439776
♂,7,0.24509803921568626,84,37.71008403361345
✍,7,0.24509803921568626,85,37.95518207282913
🎥,7,0.24509803921568626,86,38.200280112044815
🎳,7,0.24509803921568626,87,38.445378151260506
🎾,7,0.24509803921568626,88,38.69047619047619
🏎,7,0.24509803921568626,89,38.93557422969187
🏓,7,0.24509803921568626,90,39.180672268907564
🐌,7,0.24509803921568626,91,39.42577030812325
🐪,7,0.24509803921568626,92,39.67086834733894
💡,7,0.24509803921568626,93,39.91596638655462
📸,7,0.24509803921568626,94,40.161064425770306
🔑,7,0.24509803921568626,95,40.406162464986
🔬,7,0.24509803921568626,96,40.65126050420168
🖍,7,0.24509803921568626,97,40.896358543417364
🗃,7,0.24509803921568626,98,41.141456582633054
🗞,7,0.24509803921568626,99,41.38655462184874
🛑,7,0.24509803921568626,100,41.63165266106443
🛠,7,0.24509803921568626,101,41.87675070028011
🛻,7,0.24509803921568626,102,42.121848739495796
🤝,7,0.24509803921568626,103,42.36694677871149
🤠,7,0.24509803921568626,104,42.61204481792717
🥎,7,0.24509803921568626,105,42.857142857142854
🦉,7,0.24509803921568626,106,43.102240896358545
🪁,7,0.24509803921568626,107,43.34733893557423
🪛,7,0.24509803921568626,108,43.59243697478992
🫗,7,0.24509803921568626,109,43.8375350140056
⏩,6,0.21008403361344538,110,44.047619047619044
☠,6,0.21008403361344538,111,44.25770308123249
