hour,n,hour_label,percentage
0,227,0,4.278175650207312
1,203,1,3.825857519788918
2,1091,2,20.561628345269504
3,709,3,13.362231436110065
4,184,4,3.4677723332076895
5,133,5,2.5065963060686016
6,71,6,1.3381078024877497
7,75,7,1.413494157557482
8,18,8,0.3392385978137957
9,19,9,0.3580851865812288
10,23,10,0.4334715416509612
11,53,11,0.998869204673954
12,98,12,1.8469656992084433
13,155,13,2.9212212589521296
14,230,14,4.334715416509612
15,269,15,5.069732378439502
16,200,16,3.769317753486619
17,258,17,4.862419901997738
18,200,18,3.769317753486619
19,195,19,3.6750848096494537
20,163,20,3.0719939690915945
21,240,21,4.523181304183943
22,240,22,4.523181304183943
23,252,23,4.749340369393139
