Number,Count
31,238
10,235
17,227
20,227
14,226
46,219
2,216
39,215
24,214
18,213
38,213
11,212
29,212
48,211
51,210
3,208
42,208
25,205
22,204
52,204
8,202
16,202
28,202
4,201
27,200
44,200
32,199
12,198
40,198
30,197
6,196
7,196
50,196
13,195
15,194
19,193
21,193
26,193
9,192
35,192
36,192
49,192
5,189
33,189
43,188
45,188
41,187
37,182
34,181
53,180
1,178
23,172
47,170
56,167
54,154
55,140
58,103
66,101
64,93
62,91
59,89
57,88
69,87
68,86
63,84
70,83
61,81
60,75
65,73
67,68
73,31
74,30
75,25
71,22
72,20
