USPS	GEOID	ANSICODE	NAME	LSAD	FUNCSTAT	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                 
CA	0600135	02582926	Acalanes Ridge CDP	57	S	1193569	0	0.461	0.	37.904725	-122.078567                                                                                                                    
CA	0600156	02629758	Acampo CDP	57	S	2428474	0	0.938	0.	38.173529	-121.279892                                                                                                                            
CA	0600212	02407697	Acton CDP	57	S	101679451	60418	39.259	0.023	34.49607	-118.183897                                                                                                                    
CA	0600296	02409663	Adelanto city	25	A	136923866	41151	52.867	0.016	34.580902	-117.439458                                                                                                               
CA	0600310	02582927	Adin CDP	57	S	7587701	15858	2.93	0.006	41.199312	-120.956779                                                                                                                        
CA	0600394	02409666	Agoura Hills city	25	A	20189517	55687	7.795	0.022	34.148942	-118.76393                                                                                                              
CA	0600450	02582928	Agua Dulce CDP	57	S	59181047	14646	22.85	0.006	34.501678	-118.32068                                                                                                                 
CA	0600464	02582929	Aguanga CDP	57	S	35222110	0	13.599	0.	33.452246	-116.85547                                                                                                                          
CA	0600478	02628702	Ahwahnee CDP	57	S	29896182	0	11.543	0.	37.365423	-119.716561                                                                                                                        
CA	0600535	02583084	Airport CDP	57	S	451729	0	0.174	0.	37.633883	-120.972006                                                                                                                            
CA	0600562	02409669	Alameda city	25	A	27061952	32453610	10.449	12.53	37.741911	-122.259914                                                                                                              
CA	0600618	02407707	Alamo CDP	57	S	25422415	0	9.816	0.	37.854768	-122.013557                                                                                                                            
CA	0600674	02409674	Albany city	25	A	4636032	9521771	1.79	3.676	37.89065	-122.318116                                                                                                                    
CA	0600716	02628703	Albion CDP	57	S	4701873	96897	1.815	0.037	39.225327	-123.757586                                                                                                                     
CA	0600786	02611374	Alderpoint CDP	57	S	6288254	0	2.428	0.	40.161347	-123.615729                                                                                                                        
CA	0600884	02409681	Alhambra city	25	A	19764463	1730	7.631	0.001	34.083571	-118.136444                                                                                                                  
CA	0600898	02582930	Alhambra Valley CDP	57	S	4181518	0	1.614	0.	37.966744	-122.135998                                                                                                                   
CA	0600947	02409683	Aliso Viejo city	25	A	17937313	0	6.926	0.	33.57921	-117.728898                                                                                                                      
CA	0600982	02582931	Alleghany CDP	57	S	904298	0	0.349	0.	39.46666	-120.841126                                                                                                                           
CA	0600996	02582932	Allendale CDP	57	S	15892908	164542	6.136	0.064	38.442986	-121.98333                                                                                                                 
CA	0601010	02585402	Allensworth CDP	57	S	8035085	0	3.102	0.	35.849878	-119.389209                                                                                                                       
CA	0601094	02407722	Almanor CDP	57	S	2287751	0	0.883	0.	40.214494	-121.17622                                                                                                                            
CA	0601150	02407724	Alondra Park CDP	57	S	2861316	93791	1.105	0.036	33.890155	-118.335678                                                                                                               
CA	0601164	02407725	Alpaugh CDP	57	S	1082836	0	0.418	0.	35.889037	-119.485809                                                                                                                           
CA	0601192	02407726	Alpine CDP	57	S	69374324	1475	26.786	0.001	32.842487	-116.755911                                                                                                                    
CA	0601228	02407729	Alpine Village CDP	57	S	10569744	0	4.081	0.	38.779346	-119.807785                                                                                                                   
CA	0601276	02628704	Alta CDP	57	S	6173301	17423	2.384	0.007	39.215685	-120.798509                                                                                                                       
CA	0601290	02407732	Altadena CDP	57	S	21925894	40734	8.466	0.016	34.192212	-118.135589                                                                                                                  
CA	0601358	02804107	Alta Sierra CDP	57	S	2631092	1178	1.016	0.	35.725776	-118.545166                                                                                                                    
CA	0601360	02407731	Alta Sierra CDP	57	S	21551268	53117	8.321	0.021	39.126174	-121.049085                                                                                                               
CA	0601416	02582933	Alto CDP	57	S	325686	0	0.126	0.	37.905581	-122.518718                                                                                                                               
CA	0601444	02409688	Alturas city	25	A	7345639	46987	2.836	0.018	41.489136	-120.551286                                                                                                                   
CA	0601458	02407736	Alum Rock CDP	57	S	2250531	0	0.869	0.	37.369408	-121.823809                                                                                                                         
CA	0601514	02409693	Amador City city	25	A	801747	0	0.31	0.	38.418995	-120.82326                                                                                                                         
CA	0601518	02812655	Amador Pines CDP	57	S	12561595	0	4.85	0.	38.489631	-120.533305                                                                                                                      
CA	0601640	02409695	American Canyon city	25	A	15763118	102525	6.086	0.04	38.179033	-122.259602                                                                                                          
CA	0601651	02407740	Amesti CDP	57	S	7612130	166652	2.939	0.064	36.959483	-121.781739                                                                                                                    
CA	0602000	02409704	Anaheim city	25	A	130206498	1567025	50.273	0.605	33.855502	-117.758657                                                                                                              
CA	0602028	02628706	Anchor Bay CDP	57	S	9097805	0	3.513	0.	38.812653	-123.570267                                                                                                                        
