Name	Start Date	End Date	State of Birth
George Washington	1789-04-30	1797-03-04	Virginia
John Adams	1797-03-04	1801-03-04	Massachusetts
Thomas Jefferson	1801-03-04	1809-03-04	Virginia
James Madison	1809-03-04	1817-03-04	Virginia
James Monroe	1817-03-04	1825-03-04	Virginia
John Quincy Adams	1825-03-04	1829-03-04	Massachusetts
Andrew Jackson	1829-03-04	1837-03-04	South Carolina
Martin Van Buren	1837-03-04	1841-03-04	New York
William Henry Harrison	1841-03-04	1841-04-04	Virginia
John Tyler	1841-04-04	1845-03-04	Virginia
James Knox Polk	1845-03-04	1849-03-04	North Carolina
Zachary Taylor	1849-03-04	1850-07-09	Virginia
Millard Fillmore	1850-07-09	1853-03-04	New York
Franklin Pierce	1853-03-04	1857-03-04	New Hampshire
James Buchanan	1857-03-04	1861-03-04	Pennsylvania
Abraham Lincoln	1861-03-04	1865-04-15	Kentucky
Andrew Johnson	1865-04-15	1869-03-04	North Carolina
Ulysses S. Grant	1869-03-04	1877-03-04	Ohio
Rutherford B. Hayes	1877-03-04	1881-03-04	Ohio
James A. Garfield	1881-03-04	1881-09-19	Ohio
Chester A. Arthur	1881-09-19	1885-03-04	Vermont
Grover Cleveland	1885-03-04	1889-03-04	New Jersey
Benjamin Harrison	1889-03-04	1893-03-04	Ohio
Grover Cleveland	1893-03-04	1897-03-04	New Jersey
William McKinley	1897-03-04	1901-09-14	Ohio
Theodore Roosevelt	1901-09-14	1909-03-04	New York
William Howard Taft	1909-03-04	1913-03-04	Ohio
Woodrow Wilson	1913-03-04	1921-03-04	Virginia
Warren G. Harding	1921-03-04	1923-08-02	Ohio
Calvin Coolidge	1923-08-02	1929-03-04	Vermont
Herbert Hoover	1929-03-04	1933-03-04	Iowa
Franklin D. Roosevelt	1933-03-04	1945-04-12	New York
Harry S. Truman	1945-04-12	1953-01-20	Missouri
Dwight D. Eisenhower	1953-01-20	1961-01-20	Texas
John F. Kennedy	1961-01-20	1963-11-22	Massachusetts
Lyndon B. Johnson	1963-11-22	1969-01-20	Texas
Richard Nixon	1969-01-20	1974-08-09	California
Gerald Ford	1974-08-09	1977-01-20	Nebraska
Jimmy Carter	1977-01-20	1981-01-20	Georgia
Ronald Reagan	1981-01-20	1989-01-20	Illinois
George H.W. Bush	1989-01-20	1993-01-20	Massachusetts
Bill Clinton	1993-01-20	2001-01-20	Arkansas
George W. Bush	2001-01-20	2009-01-20	Connecticut
Barack Obama	2009-01-20	2017-01-20	Hawaii
Donald Trump	2017-01-20	2021-01-20	New York
Joe Biden	2021-01-20	2025-01-20	Delaware
Donald Trump	2025-01-20		New York
